Number,Name,Types,Species,Description,Weight,Height,Stamina,Attack,Defense,Candy,CPGain,MaxCP,NormalMoves,SpecialMoves,EvolveFrom,EvolveInto
#091,Cloyster,"Water,Ice",Pokémon Vỏ Sò,Cloyster bơi bằng cách hút nước vào cơ thể rồi bơm ra ngoài theo các rãnh trên vỏ. Nó bắn các gai cũng bằng cơ chế này.,132.5,1.5,100,196,196,,27.4,2052,"Frost Breath,Ice Shard","Icy Wind,Hydro Pump,Blizzard",#090,
#092,Gastly,"Ghost,Poison",Pokémon Khí Độc,Phần lớn cơ thể của Gastly là các loại khí gas. Nhưng vì vậy mà nó cũng có thể bị gió cuốn đi.,0.1,1.3,60,136,82,25,10.1,804,"Lick,Sucker Punch","Ominous Wind,Dark Pulse,Sludge Bomb",,#093
#093,Haunter,"Ghost,Poison",Pokémon Khí Độc,,0.1,1.6,90,172,118,100,18,1380,"Shadow Claw,Lick","Shadow Ball,Dark Pulse,Sludge Bomb",#092,#094
#094,Gengar,"Ghost,Poison",Pokémon Bóng,,40.5,1.5,120,204,156,,27.8,2078,"Sucker Punch,Shadow Claw","Shadow Ball,Dark Pulse,Sludge Wave",#093,
#095,Onix,"Rock,Ground",Pokémon,,210.0,8.8,70,90,186,,10.9,857,"Rock Throw,Tackle","Rock Slide,Stone Edge,Iron Head",,
#096,Drowzee,Psychic,Pokémon,,32.4,1,120,104,140,50,13.9,1075,"Pound,Confusion","Psybeam,Psyshock,Psychic",,
#097,Hypno,Psychic,Pokémon,,75.6,1.6,170,162,196,,29.3,2184,"Zen Headbutt,Confusion","Psyshock,Psychic,Shadow Ball",,
#098,Krabby,Water,Pokémon,,6.5,0.4,60,116,110,50,10,792,"Bubble,Mud Shot","Vice Grip,Bubble Beam,Water Pulse",,#099
#099,Kingler,Water,Pokémon,,60.0,1.3,110,178,168,,24.2,1823,"Metal Claw,Mud Shot","Vice Grip,X Scissor,Water Pulse",#098,
#100,Voltorb,Electric,Pokémon,,10.4,0.5,80,102,124,50,10.7,839,"Spark,Tackle","Discharge,Thunderbolt,Signal Beam",,#101
#101,Electrode,Electric,Pokémon,,66.6,1.2,120,150,174,,21.8,1646,"Spark,Tackle","Discharge,Thunderbolt,Hyper Beam",#100,
#102,Exeggcute,"Grass,Psychic",Pokémon,,2.5,0.4,120,110,132,50,14.2,1099,Confusion,"Seed Bomb,Psychic,Ancient Power",,#103
#103,Exeggutor,"Grass,Psychic",Pokémon,,120.0,2,190,232,164,,40.1,2955,"Confusion,Zen Headbutt","Seed Bomb,Psychic,Solar Beam",#102,
#104,Cubone,Ground,Pokémon,,6.5,0.4,100,102,150,50,13,1006,"Mud Slap,Rock Smash","Bone Club,Dig,Bulldoze",,#105
#105,Marowak,Ground,Pokémon,,45.0,1,120,140,202,,21.9,1656,"Mud Slap,Rock Smash","Bone Club,Dig,Earthquake",#104,
#106,Hitmonlee,Fighting,Pokémon,,49.8,1.5,100,148,172,,19.6,1492,"Low Kick,Rock Smash","Stomp,Low Sweep,Stone Edge",,
#107,Hitmonchan,Fighting,Pokémon,,50.2,1.4,100,138,204,,19.9,1516,"Bullet Punch,Rock Smash","Fire Punch,Ice Punch,Thunder Punch,Brick Break",,
#108,Lickitung,Normal,Pokémon,,65.5,1.2,180,126,160,,21.5,1626,"Lick,Zen Headbutt","Hyper Beam,Stomp,Power Whip",,
#109,Koffing,Poison,Pokémon,,1.0,0.6,80,136,142,50,14.9,1151,"Acid,Tackle","Sludge,Sludge Bomb,Dark Pulse",,#110
#110,Weezing,Poison,Pokémon,,9.5,1.2,130,190,198,,30.2,2250,"Acid,Tackle","Sludge Bomb,Shadow Ball,Dark Pulse",#109,
#111,Rhyhorn,"Ground,Rock",Pokémon,,115.0,1,160,110,116,50,15.4,1182,"Mud Slap,Rock Smash","Bulldoze,Horn Attack,Stomp",,#112
#112,Rhydon,"Ground,Rock",Pokémon,,120.0,1.9,210,166,160,,30.1,2243,"Mud Slap,Rock Smash","Megahorn,Earthquake,Stone Edge",#111,
#113,Chansey,Normal,Pokémon,,34.6,1.1,500,40,60,,8,675,"Pound,Zen Headbutt","Psychic,Psybeam,Dazzling Gleam",,
#114,Tangela,Grass,Pokémon,,35.0,1,130,164,152,,23.1,1739,Vine Whip,"Power Whip,Sludge Bomb,Solar Beam",,
#115,Kangaskhan,Normal,Pokémon,,80.0,2.2,210,142,178,,27.3,2043,"Mud Slap,Low Kick","Brick Break,Earthquake,Stomp",,
#116,Horsea,Water,Pokémon,,8.0,0.4,60,122,100,50,10,794,"Water Gun,Bubble","Bubble Beam,Dragon Pulse,Flash Cannon",,#117
#117,Seadra,Water,Pokémon,,25.0,1.2,110,176,150,,22.7,1713,"Water Gun,Dragon Breath","Blizzard,Dragon Pulse,Hydro Pump",#116,
#118,Goldeen,Water,Pokémon,,15.0,0.6,90,112,126,50,12.4,965,"Peck,Mud Shot","Water Pulse,Horn Attack,Aqua Tail",,#119
#119,Seaking,Water,Pokémon,,39.0,1.3,160,172,160,,27.3,2043,"Peck,Poison Jab","Icy Wind,Drill Run,Megahorn",#118,
#120,Staryu,Water,Pokémon,,34.5,0.8,60,130,128,50,12,937,"Quick Attack,Water Gun","Swift,Bubble Beam,Power Gem",,#121
#121,Starmie,"Water,Psychic",Pokémon,,80.0,1.1,120,194,192,,29.2,2182,"Quick Attack,Water Gun","Hydro Pump,Power Gem,Psybeam",#120,
#122,Mr. Mime,"Psychic,Fairy",Pokémon,,54.5,1.3,80,154,196,,19.6,1494,"Confusion,Zen Headbutt","Psybeam,Psychic,Shadow Ball",,
#123,Scyther,"Bug,Flying",Pokémon,,56.0,1.5,140,176,180,,27.7,2073,"Fury Cutter,Steel Wing","Night Slash,X Scissor,Bug Buzz",,
#124,Jynx,"Ice,Psychic",Pokémon,,40.6,1.4,130,172,134,,22.8,1716,"Frost Breath,Pound","Draining Kiss,Ice Punch,Psyshock",,
#125,Electabuzz,Electric,Pokémon,,30.0,1.1,130,198,160,,28.3,2119,"Thunder Shock,Low Kick","Thunder Punch,Thunderbolt,Thunder",,
#126,Magmar,Fire,Pokémon,,44.5,1.3,130,214,158,,30.4,2265,"Ember,Karate Chop","Fire Blast,Fire Punch,Flamethrower",,
#127,Pinsir,Bug,Pokémon,,55.0,1.5,130,184,186,,28.4,2121,"Rock Smash,Fury Cutter","Vice Grip,X Scissor,Submission",,
#128,Tauros,Normal,Pokémon,,88.4,1.4,150,148,184,,24.5,1844,"Tackle,Zen Headbutt","Horn Attack,Iron Head,Earthquake",,
#129,Magikarp,Water,Pokémon,,10.0,0.9,40,42,84,400,3,262,Splash,Struggle,,#130
#130,Gyarados,"Water,Flying",Pokémon,,235.0,6.5,190,192,196,,36.4,2688,"Dragon Breath,Bite","Hydro Pump,Twister,Dragon Pulse",#129,
#131,Lapras,"Water,Ice",Pokémon,,220.0,2.5,260,186,190,,40.4,2980,"Frost Breath,Ice Shard","Dragon Pulse,Ice Beam,Blizzard",,
#132,Ditto,Normal,Pokémon,,4.0,0.3,96,110,110,,11.8,919,Pound,Struggle,,
#133,Eevee,Normal,Pokémon,,6.5,0.3,110,114,128,25,13.9,1077,"Quick Attack,Tackle","Dig,Swift,Body Slam",,"#134,#135,#136"
#134,Vaporeon,Water,Pokémon,,29.0,1,260,186,168,,38.1,2816,Water Gun,"Water Pulse,Hydro Pump,Aqua Tail",#133,
#135,Jolteon,Electric,Pokémon,,24.5,0.8,130,192,174,,28.6,2140,Thunder Shock,"Discharge,Thunderbolt,Thunder",#133,
#136,Flareon,Fire,Pokémon,,25.0,0.9,130,238,178,,35.6,2643,Ember,"Fire Blast,Flamethrower,Heat Wave",#133,
#137,Porygon,Normal,Pokémon,,36.5,0.8,130,156,158,,22.4,1691,"Quick Attack,Tackle","Psybeam,Signal Beam,Discharge",,
#138,Omanyte,"Rock,Water",Pokémon,,7.5,0.4,70,132,160,50,14.4,1119,"Water Gun,Mud Shot","Ancient Power,Brine,Rock Tomb",,#139
#139,Omastar,"Rock,Water",Pokémon,,35.0,1,140,180,202,,30,2233,"Rock Throw,Water Gun","Ancient Power,Hydro Pump,Rock Slide",#138,
#140,Kabuto,"Rock,Water",Pokémon,,11.5,0.5,60,148,142,50,14.2,1104,"Scratch,Mud Shot","Ancient Power,Aqua Jet,Rock Tomb",,#141
#141,Kabutops,"Rock,Water",Pokémon,,40.5,1.3,120,190,190,,28.5,2130,"Mud Shot,Fury Cutter","Ancient Power,Water Pulse,Stone Edge",#140,
#142,Aerodactyl,"Rock,Flying",Pokémon,,59.0,1.8,160,182,162,,29,2165,"Steel Wing,Bite","Ancient Power,Iron Head,Hyper Beam",,
#143,Snorlax,Normal,Pokémon,,460.0,2.1,320,180,180,,42.2,3112,"Zen Headbutt,Lick","Body Slam,Hyper Beam,Earthquake",,
#144,Articuno,"Ice,Flying",Pokémon,,55.4,1.7,180,198,242,,40.4,2978,Frost Breath,"Ice Beam,Icy Wind,Blizzard",,
#145,Zapdos,"Electric,Flying",Pokémon,,52.6,1.6,180,232,194,,42.3,3114,Thunder Shock,"Discharge,Thunderbolt,Thunder",,
#146,Moltres,"Fire,Flying",Pokémon,,60.0,2,180,242,194,,44.1,3240,Ember,"Fire Blast,Heat Wave,Flamethrower",,
#147,Dratini,Dragon,Pokémon,,3.3,1.8,82,128,110,25,12.6,983,Dragon Breath,"Wrap,Twister,Aqua Tail",,#148
#148,Dragonair,Dragon,Pokémon,,16.5,4,122,170,152,100,23.2,1747,Dragon Breath,"Wrap,Aqua Tail,Dragon Pulse",#147,#149
#149,Dragonite,"Dragon,Flying",Pokémon,,210.0,2.2,182,250,212,,47.7,3500,"Dragon Breath,Steel Wing","Dragon Pulse,Hyper Beam,Dragon Claw",#148,
#150,Mewtwo,Psychic,Pokémon,,122.0,2,212,284,202,,56.8,4144,"Psycho Cut,Confusion","Psychic,Shadow Ball,Hyper Beam",,
#151,Mew,Psychic,Pokémon,,4.0,0.4,200,220,220,,44.9,3299,Pound,"Hurricane,Earthquake,Psychic,Dragon Pulse,Thunder,Moonblast,Fire Blast,Solar Beam,Hyper Beam",,
